qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS,QD
0.03163,0.001,0.00046,0.0005,9.55944e-09,4.245564e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.55944e-09,4.245564e-09,0.0
0.03164,0.001,0.00096,0.001,1.396963e-08,6.108901e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.396963e-08,6.108901e-09,0.0
0.03166,0.001,0.00146,0.0015,2.029259e-08,8.754332e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.029259e-08,8.754332e-09,0.0
0.03169,0.001,0.00196,0.002,2.930149e-08,1.249417e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.930149e-08,1.249417e-08,0.0
0.03172,0.001,0.00246,0.0025,4.205729006894619e-08,1.776312e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.205729e-08,1.776312e-08,6.894619136815926e-17
0.03176,0.001,0.00296,0.003,6.000562013066729e-08,3.000788e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.000558e-08,3.000788e-08,4.0130667287024385e-14
0.03182,0.001,0.00346,0.0035,8.510440518948177e-08,1.067973e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.510212e-08,1.067973e-06,2.2851894817610294e-12
0.03187,0.001,0.00396,0.004,1.2001597606295459e-07,2.524201e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.199739e-07,2.524201e-05,4.2076062954600496e-11
0.03194,0.001,0.00446,0.0045,1.685100036867897e-07,7.0609e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.681242e-07,7.0609e-05,3.858036867897084e-10
0.03202,0.001,0.00496,0.005,2.3640230355769458e-07,2.276425e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.341909e-07,2.276425e-05,2.2114035576946015e-09
0.0321,0.001,0.00546,0.0055,3.3334730336748806e-07,9.751801e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.24269e-07,9.751801e-07,9.078303367488072e-09
0.03219,0.001,0.00596,0.006,4.754398333966997e-07,2.041663e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.463089e-07,2.041663e-07,2.9130933396699685e-08
0.03228,0.001,0.00646,0.0065,6.881205517112662e-07,1.736685e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.106048e-07,1.736685e-06,7.75157517112662e-08
0.03239,0.001,0.00696,0.007,1.0086797965166958e-06,8.86128e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.303849e-07,8.86128e-05,1.7829489651669588e-07
0.0325,0.001,0.00746,0.0075,1.4878225982615826e-06,0.000614572,0.0,0.0,0.0,0.0,0.0,0.0,1.122521e-06,0.000614572,3.6530159826158256e-07
0.03262,0.001,0.00796,0.008,2.190108673984796e-06,0.0004910577,0.0,0.0,0.0,0.0,0.0,0.0,1.508373e-06,0.0004910577,6.81735673984796e-07
0.03275,0.001,0.00846,0.0085,3.193418086741507e-06,4.630515e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.014784e-06,4.630515e-05,1.1786340867415068e-06
0.03288,0.001,0.00896,0.009,4.587817756537169e-06,4.024504e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.67526e-06,4.024504e-06,1.912557756537169e-06
0.03302,0.001,0.00946,0.0095,6.474265175491752e-06,1.266088e-05,-0.0,0.0,0.0,0.0,0.0,0.0,3.531367e-06,1.266088e-05,2.9428981754917522e-06
0.03317,0.001,0.00996,0.01,8.963575415666553e-06,1.386113e-05,-0.0,0.0,0.0,0.0,0.0,0.0,4.634409e-06,1.386113e-05,4.329166415666555e-06
0.03332,0.001,0.01046,0.0105,1.2176047350142782e-05,2.19309e-05,-0.0,0.0,0.0,0.0,0.0,0.0,6.047513e-06,2.19309e-05,6.128534350142781e-06
0.03348,0.001,0.01096,0.011,1.624210578496312e-05,5.707199e-05,-0.0,0.0,0.0,0.0,0.0,0.0,7.848312e-06,5.707199e-05,8.39379378496312e-06
0.03365,0.001,0.01146,0.0115,2.1304357591377832e-05,0.00014942,-0.0,0.0,0.0,0.0,0.0,0.0,1.013255e-05,0.00014942,1.1171807591377832e-05
0.03382,0.001,0.01196,0.012,2.7521587838371102e-05,0.0004143243,-0.0,0.0,0.0,0.0,0.0,0.0,1.301913e-05,0.0004143243,1.4502457838371103e-05
0.034,0.001,0.01246,0.0125,3.507536045469722e-05,0.0009290653,-0.0,0.0,0.0,0.0,0.0,0.0,1.665731e-05,0.0009290653,1.8418050454697216e-05
0.03419,0.001,0.01296,0.013,4.418012066666037e-05,0.001611367,-0.0,0.0,0.0,0.0,0.0,0.0,2.123701e-05,0.001611367,2.2943110666660372e-05
0.03438,0.001,0.01346,0.0135,5.5113923363219936e-05,0.002147749,-0.0,0.0,0.0,0.0,0.0,0.0,2.701943e-05,0.002147749,2.809449336321994e-05
0.03458,0.001,0.01396,0.014,7.504425272581594e-05,0.002248934,-0.0,0.0,0.0,0.0,0.0,0.0,4.116252e-05,0.002248934,3.388173272581594e-05
0.03479,0.001,0.01446,0.0145,0.0004191559618532545,0.003476684,-0.0,0.0,0.0,0.0,0.0,0.0,0.0003788484,0.003476684,4.030756185325445e-05
0.035,0.001,0.01496,0.015,0.0019770265426716635,0.01051346,-0.0,0.0,0.0,0.0,0.0,0.0,0.001929658,0.01051346,4.736854267166376e-05
0.03522,0.001,0.01546,0.0155,0.0014532987570623043,0.007833215,-0.0,0.0,0.0,0.0,0.0,0.0,0.001398243,0.007833215,5.5055757062304414e-05
0.03544,0.001,0.01596,0.016,0.0009750211205551346,0.007011422,-0.0,0.0,0.0,0.0,0.0,0.0,0.0009116656,0.007011422,6.335552055513461e-05
0.03567,0.001,0.01646,0.0165,0.0006884318893841386,0.004733865,-0.0,0.0,0.0,0.0,0.0,0.0,0.0006161818,0.004733865,7.225008938413862e-05
0.0359,0.001,0.01696,0.017,0.00028615013983583344,0.001724942,0.0,0.0,0.0,0.0,3.915817e-09,0.0,0.0002044279,0.001724942,8.171833983583344e-05
0.03614,0.001,0.01746,0.0175,0.0003588825055528597,0.001890969,0.0,0.0,0.0,0.0,1.359452e-08,0.0,0.0002671325,0.001890969,9.173640555285973e-05
0.03639,0.001,0.01796,0.018,0.0006945489638387757,0.002441019,0.0,0.0,0.0,0.0,2.89717e-08,0.0,0.0005922417,0.002441019,0.00010227826383877568
0.03664,0.001,0.01846,0.0185,0.0006499186661867058,0.003041471,0.0,0.0,0.0,0.0,4.968673e-08,0.0,0.0005365527,0.003041471,0.00011331626618670581
0.03689,0.001,0.01896,0.019,0.0005090006113956882,0.003602521,0.0,0.0,0.0,0.0,7.536487e-08,0.0,0.0003841036,0.003602521,0.00012482161139568823
0.03715,0.001,0.01946,0.0195,0.0005759880619220153,0.004266894,0.0,0.0,0.0,0.0,1.056364e-07,0.0,0.0004391177,0.004266894,0.0001367647619220153
0.03742,0.001,0.01996,0.02,0.0006833605057053034,0.004971122,0.0,0.0,0.0,0.0,1.401411e-07,0.0,0.0005341046,0.004971122,0.00014911580570530332
0.03769,0.001,0.02046,0.0205,0.0008044940705683479,0.00564323,0.0,0.0,0.0,0.0,1.7853e-07,0.0,0.0006475517,0.00564323,0.00015676387056834796
0.03796,0.001,0.02096,0.021,0.0009176857813717422,0.006275056,0.0,0.0,0.0,0.0,2.204656e-07,0.0,0.0007529629,0.006275056,0.0001645023813717422
0.03824,0.001,0.02146,0.0215,0.0010316390690955444,0.006839533,0.0,0.0,0.0,0.0,2.656227e-07,0.0,0.0008586236,0.006839533,0.00017274986909554448
0.03852,0.001,0.02196,0.022,0.0011535962075418613,0.007298392,0.0,0.0,0.0,0.0,3.136876e-07,0.0,0.0009717983,0.007298392,0.00018148420754186131
0.03881,0.001,0.02246,0.0225,0.0012726000849558542,0.0076246,0.0,0.0,0.0,0.0,3.64359e-07,0.0,0.001081552,0.0076246,0.00019068408495585422
0.0391,0.001,0.02296,0.023,0.0013838019762384788,0.007799284,0.0,0.0,0.0,0.0,4.173471e-07,0.0,0.001183056,0.007799284,0.00020032897623847878
0.0394,0.001,0.02346,0.0235,0.001483915114028735,0.007813061,0.0,0.0,0.0,0.0,4.72374e-07,0.0,0.001273043,0.007813061,0.0002103991140287351
0.0397,0.001,0.02396,0.024,0.0015708254593108375,0.00766702,0.0,0.0,0.0,0.0,5.291733e-07,0.0,0.001349421,0.00766702,0.0002208754593108376
0.04,0.001,0.02446,0.0245,0.001643814672032786,0.007372584,0.0,0.0,0.0,0.0,5.874901e-07,0.0,0.001411488,0.007372584,0.00023173967203278588
0.04031,0.001,0.02496,0.025,0.0017035790820932812,0.006950277,0.0,0.0,0.0,0.0,6.470805e-07,0.0,0.001459958,0.006950277,0.00024297408209328103
0.04062,0.001,0.02546,0.0255,0.0017519976609545822,0.006427569,0.0,0.0,0.0,0.0,6.894479e-07,0.0,0.001496746,0.006427569,0.0002545616609545821
0.04094,0.001,0.02596,0.026,0.0017918019940627845,0.005836106,0.0,0.0,0.0,0.0,7.292337e-07,0.0,0.001524587,0.005836106,0.0002664859940627845
0.04126,0.001,0.02646,0.0265,0.0018260462541988072,0.00520872,0.0,0.0,0.0,0.0,7.680274e-07,0.0,0.001546547,0.00520872,0.0002787312541988072
0.04158,0.001,0.02696,0.027,0.001857625175838976,0.0045766,0.0,0.0,0.0,0.0,8.057592e-07,0.0,0.001565537,0.0045766,0.00029128217583897605
0.04191,0.001,0.02746,0.0275,0.0018888690305704319,0.003966948,0.0,0.0,0.0,0.0,8.423689e-07,0.0,0.001583903,0.003966948,0.0003041240305704318
0.04224,0.001,0.02796,0.028,0.0019212726035811602,0.003401349,0.0,0.0,0.0,0.0,8.778043e-07,0.0,0.001603153,0.003401349,0.0003172426035811603
0.04257,0.001,0.02846,0.0285,0.0019553961712254677,0.002894938,0.0,0.0,0.0,0.0,9.12021e-07,0.0,0.00162386,0.002894938,0.0003306241712254679
0.04291,0.001,0.02896,0.029,0.001990912479651665,0.002456352,0.0,0.0,0.0,0.0,9.449814e-07,0.0,0.001645712,0.002456352,0.00034425547965166503
0.04325,0.001,0.02946,0.0295,0.002026781724468559,0.002088311,0.0,0.0,0.0,0.0,9.766545e-07,0.0,0.001667681,0.002088311,0.00035812372446855927
0.04359,0.001,0.02996,0.03,0.0020614805314200985,0.001788661,0.0,0.0,0.0,0.0,1.007015e-06,0.0,0.001688257,0.001788661,0.00037221653142009844
0.04393,0.001,0.03046,0.0305,0.0020932619380325855,0.001551643,0.0,0.0,0.0,0.0,1.036043e-06,0.0,0.001705704,0.001551643,0.00038652193803258566
0.04428,0.001,0.03096,0.031,0.0021203773761956837,0.001369213,0.0,0.0,0.0,0.0,1.063722e-06,0.0,0.001718285,0.001369213,0.0004010283761956836
0.04463,0.001,0.03146,0.0315,0.002141257655636588,0.001232233,0.0,0.0,0.0,0.0,1.090044e-06,0.0,0.001724443,0.001232233,0.000415724655636588
0.04499,0.001,0.03196,0.032,0.002154629948245906,0.001131453,0.0,0.0,0.0,0.0,1.115e-06,0.0,0.001722915,0.001131453,0.0004305999482459062
0.04535,0.001,0.03246,0.0325,0.0021595847732137226,0.001058227,0.0,0.0,0.0,0.0,1.138589e-06,0.0,0.001712802,0.001058227,0.0004456437732137227
