qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS,QD
0.02326,0.0001,0.021,0.021,0.000572149178711995,0.004485584,0.0,0.0,0.0,0.0,2.628347e-09,0.0,0.0004602663,0.004485584,0.00011188017871199493
0.02371,0.0001,0.0215,0.0215,0.0006467889417448523,0.004903668,0.0,0.0,0.0,0.0,3.168793e-09,0.0,0.000529286,0.004903668,0.00011749974174485229
0.02417,0.0001,0.022,0.022,0.0007270460350507983,0.005247116,0.0,0.0,0.0,0.0,3.743829e-09,0.0,0.0006035941,0.005247116,0.00012344823505079823
0.02462,0.0001,0.0225,0.0225,0.0008078686852057049,0.005495861,0.0,0.0,0.0,0.0,4.349797e-09,0.0,0.000678153,0.005495861,0.00012971128520570483
0.02508,0.0001,0.023,0.023,0.0008868255460317764,0.005635318,0.0,0.0,0.0,0.0,4.983189e-09,0.0,0.0007505455,0.005635318,0.00013627504603177636
0.02554,0.0001,0.0235,0.0235,0.0009620616795099236,0.005657709,0.0,0.0,0.0,0.0,5.64064e-09,0.0,0.0008189298,0.005657709,0.00014312617950992367
0.026,0.0001,0.024,0.024,0.00103223503632788,0.005562881,0.0,0.0,0.0,0.0,6.318933e-09,0.0,0.0008819769,0.005562881,0.00015025183632788006
0.02646,0.0001,0.0245,0.0245,0.001096656436396086,0.005358322,0.0,0.0,0.0,0.0,7.014988e-09,0.0,0.0009390098,0.005358322,0.0001576396363960859
0.02693,0.0001,0.025,0.025,0.0011553247495758694,0.005058339,0.0,0.0,0.0,0.0,7.725865e-09,0.0,0.0009900394,0.005058339,0.00016527764957586946
0.02739,0.0001,0.0255,0.0255,0.0012088473767972426,0.004682553,0.0,0.0,0.0,0.0,8.212286e-09,0.0,0.001035684,0.004682553,0.0001731543767972424
0.02786,0.0001,0.026,0.026,0.0012582627316920347,0.004253907,0.0,0.0,0.0,0.0,8.685931e-09,0.0,0.001076995,0.004253907,0.00018125873169203474
0.02832,0.0001,0.0265,0.0265,0.0013048060228285723,0.003796468,0.0,0.0,0.0,0.0,9.147412e-09,0.0,0.001115217,0.003796468,0.00018958002282857238
0.02879,0.0001,0.027,0.027,0.0013496549366038921,0.003333329,0.0,0.0,0.0,0.0,9.595905e-09,0.0,0.001151537,0.003333329,0.0001981079366038923
0.02926,0.0001,0.0275,0.0275,0.0013937175208265148,0.002884828,0.0,0.0,0.0,0.0,1.00307e-08,0.0,0.001186875,0.002884828,0.00020683252082651476
0.02973,0.0001,0.028,0.028,0.0014374811690053939,0.002467292,0.0,0.0,0.0,0.0,1.045118e-08,0.0,0.001221727,0.002467292,0.00021574416900539385
