q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.991,0.2444,0.41663,0.20314,7.8834e-05,3.9707e-05,0.00024826,6.9205e-05
0.991,0.27775,0.49664,0.23727,3.8642e-05,4.3274e-05,0.00072367,7.399e-05
0.991,0.31071,0.57788,0.2711,0.00014085,3.9131e-05,0.001364,6.429e-05
0.991,0.34415,0.66252,0.30551,0.0004731,5.7095e-05,0.0023066,8.8931e-05
0.991,0.36823,0.72487,0.33037,0.00059795,7.1727e-05,0.0033506,0.00010296
0.991,0.38963,0.78124,0.35249,0.00097295,0.00010558,0.0039311,0.00016172
0.991,0.41185,0.84076,0.37551,0.0011337,9.6065e-05,0.0047753,0.00013811
0.991,0.43223,0.89619,0.39666,0.0010872,0.00014148,0.0056807,0.0002022
0.991,0.45381,0.95583,0.4191,0.00097632,0.00015107,0.0064406,0.00021564
0.991,0.47334,1.0106,0.43943,0.00094101,0.00016143,0.0066814,0.00022779
0.991,0.49335,1.0675,0.46031,0.00094479,0.00015789,0.0068864,0.00021298
0.991,0.51314,1.1245,0.48099,0.0011231,0.00014299,0.0067127,0.00017381
0.991,0.53271,1.1817,0.50147,0.00084814,0.00017582,0.0073242,0.00022115
0.991,0.55299,1.2418,0.52274,0.0016926,0.00014769,0.0065182,0.00017637
0.991,0.57536,1.309,0.54624,0.0019348,0.00023326,0.0071664,0.00028353
0.991,0.60102,1.3873,0.57325,0.0018534,0.00021223,0.0084321,0.00023626
0.991,0.6204,1.4474,0.59369,0.0019156,0.00031426,0.0093298,0.00034342
0.991,0.6374,1.5007,0.61165,0.0021155,0.00034226,0.010235,0.0003653
0.991,0.65557,1.5583,0.63087,0.0023504,0.00028403,0.011028,0.00028094
0.991,0.67469,1.6196,0.65112,0.0035377,0.00046185,0.011008,0.00044305
0.991,0.69646,1.6903,0.67423,0.0036533,0.00041106,0.011988,0.00036334
0.991,0.71966,1.7666,0.69889,0.0030061,0.00056613,0.013105,0.00041952
0.991,0.74224,1.842,0.72295,0.0032209,0.00066359,0.013935,0.00046236
0.991,0.76312,1.9127,0.74524,0.0039414,0.0009122,0.014417,0.00060102
0.991,0.7854,1.989,0.76906,0.0034573,0.0012087,0.016073,0.00076655
0.991,0.80925,2.0718,0.79461,0.0050059,0.0011127,0.016835,0.0005951
0.991,0.84326,2.1918,0.83113,0.01112,0.0018371,0.017535,0.0008705
