Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
1.25,0.50977,0.58697,0.45386,0.00010197,2.5142e-05,0.0010469,3.5977e-05
1.25,0.57404,0.70756,0.51812,0.00022986,4.1449e-05,0.001665,5.6728e-05
1.25,0.61954,0.79295,0.56363,0.00033835,5.3091e-05,0.0019584,6.7651e-05
1.25,1.1218,1.7354,1.0659,0.00097682,0.00033281,0.0040355,0.00029042
1.25,1.2067,1.8948,1.1508,0.0012289,0.00014107,0.0045589,9.6437e-05
1.25,1.2976,2.0653,1.2417,0.0014814,0.00017274,0.0050781,7.6567e-05
1.25,1.3815,2.2229,1.3256,0.0020071,0.00020321,0.0055426,8.0934e-05
1.25,1.4568,2.3642,1.4009,0.0025841,0.00025793,0.0059934,9.1819e-05
1.25,1.5209,2.4844,1.465,0.0034636,0.0002605,0.0062763,8.2057e-05
1.25,1.5742,2.5844,1.5183,0.0038021,0.00030204,0.006656,9.9068e-05
1.25,1.624,2.6778,1.568,0.0047738,0.00029983,0.0067473,9.0355e-05
1.25,1.6661,2.7568,1.6102,0.0049951,0.00033124,0.0070807,0.00010876
1.25,1.7016,2.8234,1.6457,0.0053907,0.00032994,0.0072684,0.00011514
1.25,1.7438,2.9027,1.6879,0.0048505,0.00062855,0.0078545,0.00022808
1.25,1.7872,2.9841,1.7313,0.005324,0.00065854,0.0081248,0.00022759
1.25,1.8401,3.0834,1.7842,0.0058856,0.00060312,0.008347,0.000194
1.25,1.9042,3.2036,1.8483,0.0070234,0.00074785,0.0085577,0.00022687
1.25,1.9691,3.3254,1.9132,0.0054965,0.00076437,0.0095678,0.00021557
1.25,2.087,3.5467,2.0311,0.0092334,0.0010176,0.0094742,0.00030929
1.25,2.1407,3.6475,2.0848,0.0089523,0.0010063,0.0099686,0.00024816
1.25,2.204,3.7662,2.1481,0.012593,0.0011586,0.0097948,0.00023486
1.25,2.2562,3.8642,2.2003,0.012335,0.001164,0.010263,0.00024564
1.25,2.2991,3.9447,2.2432,0.011233,0.0014369,0.010816,0.00024695
1.25,2.3524,4.0447,2.2965,0.012856,0.0013886,0.010885,0.0002097
1.25,2.4156,4.1633,2.3597,0.012665,0.0014879,0.011464,0.00021225
1.25,2.4784,4.2812,2.4225,0.017144,0.0014006,0.011265,0.00018158
1.25,2.5541,4.4232,2.4982,0.014899,0.0011784,0.012172,0.0001522
