Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.04,0.032888,0.90207,0.031099,0.038125,0.0010923,0.014339,0.00081135
0.04,0.034277,0.90468,0.032488,0.037695,0.0012721,0.014009,0.00052639
0.04,0.035377,0.90674,0.033587,0.038625,0.0011984,0.013786,0.00057558
0.04,0.036457,0.90877,0.034668,0.037616,0.0012827,0.014829,0.00060438
0.04,0.037554,0.91083,0.035765,0.034344,0.0012277,0.015726,0.00055178
0.04,0.038759,0.91309,0.03697,0.037337,0.0011745,0.014571,0.00053153
0.04,0.039877,0.91519,0.038088,0.036576,0.0012653,0.01459,0.00053087
0.04,0.040983,0.91726,0.039194,0.035413,0.001184,0.016076,0.00061925
0.04,0.042173,0.9195,0.040384,0.035667,0.00126,0.01551,0.000609
0.04,0.057421,0.94811,0.055632,0.028593,0.0018027,0.011001,0.0016316
0.04,0.078568,0.98779,0.076778,0.01525,0.00090436,0.0089734,0.00040356
0.04,0.093299,1.0154,0.09151,0.010354,0.00093414,0.0074194,0.00024435
0.04,0.11922,1.0641,0.11743,0.004615,0.0013274,0.0067949,0.0013196
0.04,0.1418,1.1064,0.14001,0.0043744,0.001525,0.00457,0.0011549
0.04,0.20069,1.217,0.1989,0.0068189,0.004728,0.0064493,0.0032024
0.04,0.43617,1.6588,0.43438,0.0060306,0.0083792,0.028903,0.0017212
