Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.01,0.012703,0.89419,0.012256,0.02951,0.013269,0.00036912,0.00021875
0.01,0.01727,0.90276,0.016822,0.016412,0.0035569,0.0018167,0.0003176
0.01,0.017615,0.90341,0.017168,0.024058,0.0094575,0.0005361,0.0011431
0.01,0.022342,0.91228,0.021895,0.03591,0.0054181,0.0059588,0.0014972
0.01,0.022518,0.91261,0.022071,0.037236,0.0086562,0.010528,0.00085631
0.01,0.027182,0.92136,0.026734,0.037711,0.0052864,0.0098733,0.0019942
0.01,0.027399,0.92177,0.026952,0.030077,0.0086511,0.011405,0.0012936
0.01,0.032364,0.93109,0.031917,0.023489,0.0040058,0.0058038,0.00096631
0.01,0.037168,0.9401,0.036721,0.022997,0.0037475,0.0033599,0.00089856
0.01,0.0437,0.95236,0.043252,0.016152,0.0035541,0.0036857,0.001453
0.01,0.056552,0.97648,0.056105,0.010834,0.0026007,0.00015787,0.00051109
