q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
2.783,1.986,0.8064,1.816,2.7164e-05,1.029e-05,0.00014765,7.421e-06
2.783,2.0126,0.9624,1.8473,4.2014e-05,9.4624e-06,0.00019455,6.413e-06
2.783,2.0358,1.1001,1.8748,6.4529e-05,1.099e-05,0.00024188,7.3682e-06
2.783,2.0592,1.2398,1.9024,6.3059e-05,1.2849e-05,0.0003229,7.8318e-06
2.783,2.0812,1.3719,1.9285,8.0973e-05,1.2395e-05,0.00040371,8.7736e-06
2.783,2.1037,1.5088,1.9553,0.00013015,1.8678e-05,0.00049173,1.0445e-05
2.783,2.1254,1.6413,1.9811,7.9335e-05,1.8325e-05,0.00065818,1.2131e-05
2.783,2.1456,1.7649,2.005,-1.5093e-05,2.9651e-05,0.00086022,1.9533e-05
2.783,2.1676,1.9013,2.0313,0.00019025,2.7922e-05,0.00094021,1.7053e-05
2.783,2.1894,2.0375,2.0574,0.00019778,2.7792e-05,0.0011712,1.5815e-05
2.783,2.2312,2.3002,2.1074,0.00044202,3.5668e-05,0.0016518,1.8469e-05
2.783,2.2497,2.4178,2.1296,0.00050502,4.7101e-05,0.0019389,2.4061e-05
2.783,2.2628,2.5016,2.1454,0.00074643,6.5965e-05,0.0021263,2.847e-05
2.783,2.2783,2.6011,2.164,0.00071062,8.0671e-05,0.0024814,3.4896e-05
2.783,2.2932,2.6975,2.182,0.00111,0.00010198,0.0026631,3.8169e-05
2.783,2.306,2.7801,2.1974,0.0013302,9.8298e-05,0.0028922,3.9583e-05
2.783,2.3214,2.8801,2.2159,0.0012277,0.00012915,0.0033252,4.4149e-05
2.783,2.3339,2.9623,2.2312,0.0019361,0.000141,0.0035091,5.1771e-05
2.783,2.3462,3.0424,2.2459,0.0020839,0.00016321,0.0037963,5.1634e-05
2.783,2.3609,3.1394,2.2638,0.0023717,0.00017128,0.0042375,6.0635e-05
2.783,2.3748,3.231,2.2806,0.0021098,0.00016395,0.0046942,6.9256e-05
2.783,2.3901,3.3333,2.2992,0.0029153,0.00025046,0.005102,7.0617e-05
2.783,2.4061,3.4395,2.3186,0.0036005,0.00028534,0.0055336,8.7656e-05
2.783,2.4208,3.5386,2.3365,0.0040271,0.00054123,0.0061462,0.00010795
2.783,2.436,3.641,2.3551,0.0052884,0.00056914,0.0066014,0.00011032
2.783,2.4509,3.7416,2.3732,0.0081727,0.00074458,0.0069092,0.00013224
2.783,2.4656,3.8415,2.3911,0.0085287,0.00061322,0.00744,0.00011209
2.783,2.4802,3.9408,2.4089,0.0092646,0.00102,0.0082284,0.00015455
2.783,2.4919,4.0209,2.4232,0.0088689,0.00122,0.0089553,0.0001653
2.783,2.5103,4.1474,2.4457,0.011604,0.0013374,0.0097453,0.00016557
2.783,2.5212,4.2225,2.459,0.013503,0.001194,0.010229,0.00014791
2.783,2.5324,4.3003,2.4728,0.016384,0.0013693,0.010598,0.00015926
2.783,2.55,4.4232,2.4945,0.015028,0.0011877,0.012237,0.00015303
