q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
1.619,0.95623,0.96797,0.87988,0.22698,0.11142,1.2467,0.12966
1.619,0.98733,1.0868,0.91368,0.32024,0.11952,1.453,0.13509
1.619,1.0157,1.1969,0.94462,0.28563,0.16774,1.8128,0.18537
1.619,1.0412,1.2972,0.97246,0.28988,0.16681,2.1314,0.17612
1.619,1.0689,1.4075,1.0027,0.30583,0.18652,2.5649,0.18948
1.619,1.1035,1.5476,1.0407,0.65926,0.18897,2.8991,0.18084
1.619,1.1375,1.6876,1.0781,1.0119,0.23638,3.3901,0.21458
1.619,1.1615,1.7878,1.1046,1.1373,0.30024,3.962,0.26331
1.619,1.1851,1.8876,1.1307,1.4273,0.39715,4.501,0.33509
1.619,1.3191,2.4746,1.2797,5.0179,0.39066,9.3051,0.20876
1.619,1.3353,2.5482,1.2979,6.5596,0.42773,9.7572,0.21584
1.619,1.3513,2.6211,1.3158,7.403,0.61031,10.558,0.30499
1.619,1.3646,2.6818,1.3306,8.2186,0.53888,11.346,0.2416
1.619,1.379,2.7484,1.3468,8.4488,0.64121,12.604,0.26967
1.619,1.395,2.8232,1.3648,9.3072,0.93894,13.898,0.39968
1.619,1.4111,2.8983,1.3829,11.355,0.82779,14.602,0.30976
1.619,1.429,2.9827,1.4031,15.657,0.8578,15.071,0.24938
1.619,1.4469,3.0681,1.4233,16.439,1.1081,17.012,0.30615
1.619,1.4664,3.1615,1.4454,21.787,1.2831,17.999,0.33865
1.619,1.4913,3.2815,1.4735,33.896,3.4384,18.849,0.8619
1.619,1.5214,3.4287,1.5077,44.943,4.6942,22.22,0.90275
1.619,1.5777,3.7087,1.5717,136.25,15.818,27.517,1.1379
