Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.056,0.031709,0.88386,0.029204,0.031578,0.00073338,0.015058,0.00056241
0.056,0.035855,0.89164,0.03335,0.033698,0.0005926,0.01572,0.00033048
0.056,0.037798,0.89529,0.035293,0.031856,0.00071208,0.01801,0.00038829
0.056,0.039845,0.89913,0.03734,0.030496,0.00071751,0.018894,0.00040353
0.056,0.041643,0.9025,0.039138,0.031343,0.0007507,0.020474,0.00055189
0.056,0.043406,0.90581,0.040901,0.033391,0.00074312,0.019778,0.00045139
0.056,0.048955,0.91622,0.04645,0.032479,0.00068474,0.019841,0.00029853
0.056,0.062108,0.9409,0.059603,0.030179,0.0004835,0.017375,0.00026557
0.056,0.077971,0.97067,0.075466,0.023507,0.00042093,0.013416,0.00030475
0.056,0.090602,0.99438,0.088097,0.018263,0.00062123,0.010393,0.00046153
0.056,0.10301,1.0177,0.10051,0.014231,0.00061564,0.0076784,0.000554
0.056,0.11928,1.0482,0.11677,0.009634,0.00051231,0.006785,0.00051231
0.056,0.142,1.0908,0.13949,0.006805,0.00041556,0.005164,0.00047422
0.056,0.17913,1.1605,0.17663,0.0042371,0.00039051,0.006165,0.00040687
0.056,0.22388,1.2445,0.22137,0.00075554,0.00067781,0.014207,0.00060124
0.056,0.28292,1.3553,0.28042,0.0031738,0.0012842,0.023322,0.00087991
0.056,0.44451,1.6585,0.442,-0.0014585,0.0027509,0.032178,0.0010419
