q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.3,0.0047486,0.79929,0.00072386,2.2005e-06,1.2343e-07,1.389e-06,9.5594e-08
0.3,0.0098192,0.80888,0.0057977,-2.5981e-05,2.4801e-06,5.7369e-05,2.8651e-06
0.3,0.016579,0.82174,0.012566,0.011895,0.00025446,0.00078773,0.0001062
0.3,0.02222,0.83255,0.018217,0.017546,0.00079192,0.011092,0.00055225
0.3,0.026982,0.84172,0.022989,0.016835,0.0012185,0.0084834,0.00037722
0.3,0.032069,0.85156,0.028089,0.022319,0.0016078,0.011108,0.00051282
0.3,0.013972,0.81677,0.0099551,0.043792,0.00087376,0.00012776,7.079e-05
0.3,0.020297,0.82886,0.01629,0.015578,0.0027485,0.021535,0.0017472
0.3,0.025436,0.83874,0.021439,0.021081,0.0010241,0.0095274,0.00028333
0.3,0.021996,0.83212,0.017992,0.014608,0.00086651,0.0055745,0.0002626
0.3,0.027599,0.84291,0.023608,0.020563,0.0008661,0.0066564,0.00041272
0.3,0.03241,0.85222,0.028431,0.027389,0.00094033,0.010289,0.00061459
0.3,0.018029,0.82451,0.014018,0.026827,0.00055761,0.0011133,0.00017923
0.3,0.023325,0.83467,0.019323,-0.010782,0.0021174,0.048236,0.0022197
0.3,0.028244,0.84415,0.024254,0.019879,0.00076193,0.0077713,0.00066486
0.3,0.027313,0.84236,0.023321,0.022585,0.00061979,0.0070519,0.0003054
0.3,0.022771,0.83361,0.018769,0.015895,0.00096783,0.012677,0.00062334
0.3,0.032791,0.85297,0.028813,0.024349,0.0011397,0.011022,0.0006142
0.3,0.031314,0.8501,0.027332,0.026218,0.00095634,0.00947,0.00041032
0.3,0.019822,0.82795,0.015813,0.037026,0.0017489,0.016207,0.0016013
0.3,0.02976,0.84709,0.025774,0.02558,0.00047726,0.010368,0.0005469
0.3,0.019397,0.82713,0.015388,0.013897,0.00068738,0.0045427,0.00016544
0.3,0.01966,0.82764,0.015652,0.010899,0.0015447,0.016094,0.0006764
0.3,0.020049,0.82838,0.016041,0.050848,0.0018342,0.011119,0.00037281
0.3,0.020574,0.82939,0.016567,0.015952,0.001803,0.016895,0.00073831
0.3,0.020865,0.82995,0.016859,0.0079188,0.0013606,0.01374,0.00093427
0.3,0.021167,0.83052,0.017161,0.0084915,0.00077815,0.0068885,0.00015369
0.3,0.021598,0.83135,0.017593,0.0051344,0.00054975,0.0054489,0.000288
0.3,0.022444,0.83298,0.018441,0.015627,0.0011295,0.0094481,0.00033403
0.3,0.023104,0.83424,0.019102,0.01159,0.0016468,0.024853,0.0006104
0.3,0.0236,0.8352,0.019599,0.036583,0.0018685,0.022053,0.00045039
0.3,0.023951,0.83587,0.019951,0.027294,0.0024044,0.019748,0.0015051
0.3,0.0243,0.83655,0.020301,0.017241,0.0013276,0.016683,0.00023305
0.3,0.024701,0.83732,0.020702,0.020841,0.0015107,0.016428,0.00038689
0.3,0.025104,0.83809,0.021106,0.022283,0.0016417,0.010371,0.00054929
0.3,0.02577,0.83938,0.021774,0.021102,0.0011172,0.0080944,0.0002275
0.3,0.026179,0.84017,0.022184,0.018571,0.0011354,0.00808,0.00034535
0.3,0.026594,0.84097,0.0226,0.020157,0.0011265,0.0076476,0.00031813
0.3,0.027925,0.84354,0.023934,0.016081,0.0010137,0.0079897,0.00028915
0.3,0.028545,0.84474,0.024556,0.018809,0.0014373,0.0090529,0.00027582
0.3,0.02897,0.84556,0.024981,0.018149,0.0014554,0.012603,0.00069978
0.3,0.029406,0.8464,0.025419,0.027969,0.0014902,0.010201,0.00039932
0.3,0.030126,0.8478,0.026141,0.023559,0.001373,0.010001,0.00038564
0.3,0.030527,0.84857,0.026543,0.024811,0.0013682,0.0094281,0.00034689
0.3,0.030938,0.84937,0.026955,0.023572,0.0015174,0.010701,0.00065913
0.3,0.031679,0.85081,0.027698,0.023024,0.0013388,0.010276,0.00035543
0.3,0.033152,0.85367,0.029176,0.026285,0.0020843,0.011422,0.00094742
0.3,0.033509,0.85436,0.029534,0.026031,0.0018569,0.011115,0.00060271
0.3,0.033837,0.855,0.029862,0.023946,0.0014707,0.010924,0.00045906
0.3,0.018866,0.82611,0.014856,0.015207,0.00053315,0.0026998,0.00021525
0.3,0.03,0.84755,0.026014,0.019575,0.0015418,0.0097995,0.00060014
0.3,0.04,0.86702,0.036046,0.025255,0.000247,0.013676,0.00013997
0.3,0.05,0.88668,0.046086,0.025367,0.00044643,0.019513,0.00048717
0.3,0.06,0.90655,0.056135,0.027061,0.00051404,0.021487,0.00054542
0.3,0.07,0.92661,0.066193,0.025786,0.00054663,0.022703,0.00058387
0.3,0.08,0.94688,0.076261,0.024433,0.00048369,0.020721,0.00053261
0.3,0.09,0.96735,0.086337,0.022164,0.00042518,0.017437,0.00047834
0.3,0.1,0.98801,0.096422,0.01898,0.0004565,0.014654,0.00048052
0.3,0.11,1.0089,0.10652,0.016374,0.00051562,0.011636,0.00061447
0.3,0.12,1.0299,0.11662,0.012764,0.00053,0.0098617,0.00064149
0.3,0.13,1.0512,0.12673,0.0094266,0.0004988,0.0087342,0.00060289
0.3,0.14,1.0727,0.13685,0.0084899,0.00031661,0.0071464,0.00039917
0.3,0.15,1.0943,0.14698,0.0074398,0.0004617,0.0059036,0.00056407
0.3,0.16,1.1162,0.15712,0.0059057,0.0004713,0.0057326,0.00056268
0.3,0.17,1.1383,0.16727,0.0037929,0.00058576,0.0068292,0.00065323
0.3,0.18,1.1605,0.17742,0.0038546,0.00063314,0.0062771,0.00072148
0.3,0.19,1.183,0.18759,0.0023171,0.00099892,0.0080023,0.00098231
0.3,0.24,1.2983,0.23855,-0.0018326,0.0014557,0.018504,0.00092357
