q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.57,0.045,0.64193,0.030558,0.0002364,0.00011762,0.0015741,9.7618e-05
0.57,0.065,0.68166,0.050656,0.00033426,6.6157e-05,0.0039048,8.2837e-05
0.57,0.085,0.72219,0.07079,0.00079345,0.00010049,0.0068684,0.00013008
0.57,0.105,0.76352,0.09096,0.0023299,0.00019843,0.01056,0.0001886
0.57,0.125,0.80565,0.11117,0.002706,0.00021271,0.014905,0.00027647
0.57,0.145,0.84858,0.13141,0.0040259,0.00031547,0.01805,0.00037862
0.57,0.165,0.89231,0.15168,0.0057565,0.00043984,0.019477,0.00041172
0.57,0.185,0.93684,0.172,0.0058261,0.00034623,0.020293,0.00033227
0.57,0.205,0.98217,0.19235,0.0062718,0.0004414,0.019481,0.00042153
0.57,0.225,1.0283,0.21273,0.0062835,0.00044146,0.01735,0.00041489
0.57,0.245,1.0752,0.23315,0.0042258,0.00043526,0.015636,0.00039847
0.57,0.265,1.123,0.25361,0.0030908,0.00049084,0.01366,0.00038445
0.57,0.285,1.1715,0.2741,0.0028244,0.00050169,0.012852,0.00046472
0.57,0.305,1.2208,0.29463,0.0025256,0.00062956,0.01375,0.00061853
0.57,0.325,1.271,0.31519,0.003455,0.00090354,0.015108,0.00075297
0.57,0.345,1.3219,0.33579,0.0021977,0.0010878,0.018679,0.00083131
0.57,0.365,1.3736,0.35643,-0.00035677,0.0012611,0.023081,0.00088939
0.57,0.475,1.6724,0.47056,0.0086172,0.0012866,0.025368,0.00070472
