q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
2.213,1.4715,0.90977,1.3493,-0.0043343,0.014882,0.44672,0.01419
2.213,1.4919,1.0085,1.3724,0.051269,0.01508,0.48221,0.013846
2.213,1.5169,1.1305,1.4008,0.021973,0.022496,0.63905,0.020515
2.213,1.5486,1.287,1.4368,0.073287,0.020965,0.78428,0.018529
2.213,1.5794,1.4415,1.472,0.14526,0.029676,0.97582,0.024487
2.213,1.6075,1.5837,1.504,0.057822,0.036746,1.313,0.029903
2.213,1.6462,1.7824,1.5484,-0.13447,0.10624,1.9471,0.083245
2.213,1.6863,1.9909,1.5944,0.075253,0.11836,2.461,0.086115
2.213,1.7169,2.1524,1.6297,1.1567,0.19105,2.5499,0.11484
2.213,1.7427,2.29,1.6594,1.3181,0.20343,3.1485,0.12061
2.213,1.7648,2.4093,1.6851,1.6636,0.25791,3.6886,0.13333
2.213,1.7827,2.5065,1.7058,1.935,0.30516,4.1813,0.15962
2.213,1.7975,2.5872,1.723,2.1613,0.32967,4.6544,0.16252
2.213,1.8121,2.6672,1.7399,2.3221,0.36044,5.1699,0.17125
2.213,1.8283,2.7564,1.7587,2.6772,0.40861,5.7074,0.18436
2.213,1.846,2.855,1.7794,3.1079,0.45845,6.3816,0.19208
2.213,1.8618,2.9431,1.7978,3.9203,0.5318,6.9124,0.20913
2.213,1.8762,3.0239,1.8146,4.8897,0.58733,7.3714,0.22294
2.213,1.8977,3.1453,1.8397,6.1516,0.5476,8.1729,0.20135
2.213,1.9258,3.3055,1.8726,7.6029,0.65033,9.523,0.21003
2.213,1.9537,3.4662,1.9054,9.6318,0.73858,10.982,0.21895
2.213,1.9839,3.6417,1.9409,14.999,1.0224,12.246,0.29479
2.213,2.0145,3.8213,1.9769,16.521,1.6113,15.06,0.4167
2.213,2.066,4.1283,2.0379,27.385,2.6493,19.595,0.47479
2.213,2.1058,4.3687,2.085,49.653,4.7286,23.952,0.6008
