Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.12,0.035733,0.82741,0.030365,0.012993,0.00029742,0.0093411,0.00033659
0.12,0.050606,0.85532,0.045239,0.016782,0.00035142,0.017471,0.0004187
0.12,0.063568,0.87964,0.0582,0.017016,0.00041155,0.022878,0.0005463
0.12,0.078372,0.90742,0.073004,0.019388,0.00034609,0.024537,0.00044938
0.12,0.094505,0.9377,0.089137,0.018701,0.0004476,0.024981,0.00058424
0.12,0.11098,0.96862,0.10561,0.016408,0.00039622,0.023027,0.00052475
0.12,0.12817,1.0009,0.1228,0.013302,0.00035865,0.019437,0.0004726
0.12,0.14525,1.0329,0.13988,0.010378,0.00029915,0.015716,0.00037244
0.12,0.1629,1.0661,0.15754,0.0078484,0.00030049,0.012836,0.00038328
0.12,0.17981,1.0978,0.17444,0.0059922,0.00025978,0.011427,0.00029778
0.12,0.19739,1.1308,0.19202,0.0040283,0.00025392,0.011555,0.00032013
0.12,0.21545,1.1647,0.21009,0.0029225,0.0002681,0.011824,0.00030734
0.12,0.23372,1.1989,0.22836,0.0025076,0.0002997,0.012688,0.00036011
0.12,0.25368,1.2364,0.24831,0.0014773,0.00036155,0.015619,0.00041354
0.12,0.27605,1.2784,0.27068,0.0007769,0.00049462,0.018721,0.00052281
0.12,0.30796,1.3383,0.30259,0.00026842,0.00072106,0.023838,0.00069961
0.12,0.35734,1.4309,0.35197,-0.0011934,0.00094968,0.031008,0.00080646
0.12,0.43385,1.5745,0.42848,0.0026797,0.0016513,0.030346,0.00116
0.12,0.57179,1.8334,0.56643,0.0038701,0.003161,0.024485,0.0015235
