q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
2.5,1.7265,0.85079,1.5802,3.0915e-05,5.8044e-06,0.00023301,5.1004e-06
2.5,1.7774,1.125,1.6392,3.7359e-05,1.2867e-05,0.00040362,1.0414e-05
2.5,1.7956,1.2241,1.6603,4.2312e-05,2.1685e-05,0.00048991,1.5635e-05
2.5,1.8138,1.3237,1.6813,-6.4829e-06,2.3525e-05,0.00061157,1.8551e-05
2.5,1.9521,2.104,1.8429,9.2722e-05,5.906e-05,0.0019891,3.7254e-05
2.5,1.9728,2.2241,1.8673,0.00041968,7.3666e-05,0.0021904,4.5404e-05
2.5,2.0102,2.4436,1.9114,0.00039959,8.9393e-05,0.0030202,5.0212e-05
2.5,2.0407,2.6246,1.9475,0.0007632,0.00010445,0.0036602,5.3829e-05
2.5,2.0676,2.7855,1.9793,0.001199,0.00013862,0.0043467,6.7755e-05
2.5,2.1007,2.9852,2.0185,0.0019504,0.00016522,0.0052579,7.3014e-05
2.5,2.1151,3.0732,2.0357,0.0025529,0.00033055,0.0056743,0.00011272
2.5,2.128,3.1518,2.0509,0.0033076,0.00048477,0.0060479,0.00014205
2.5,2.1401,3.2263,2.0654,0.0035419,0.00037613,0.0064476,0.0001297
2.5,2.1533,3.3076,2.0811,0.0043083,0.00047441,0.0068215,0.00013856
2.5,2.1661,3.3874,2.0965,0.0048687,0.00046939,0.0074163,0.00013644
2.5,2.179,3.4675,2.1118,0.0062056,0.00051171,0.0077651,0.00015116
2.5,2.195,3.5676,2.131,0.0071169,0.0005692,0.0084609,0.00015349
2.5,2.214,3.6867,2.1537,0.0081944,0.00084478,0.0093462,0.00018669
2.5,2.2298,3.7865,2.1726,0.012037,0.00099042,0.0097111,0.00021938
2.5,2.2425,3.8673,2.1879,0.012904,0.0018342,0.010465,0.00033845
2.5,2.2612,3.9864,2.2103,0.014602,0.0015737,0.011704,0.00029516
2.5,2.2829,4.1261,2.2365,0.017414,0.0018531,0.013155,0.00033756
2.5,2.3078,4.2872,2.2665,0.0249,0.002319,0.014658,0.00033234
2.5,2.3354,4.4668,2.2998,0.030565,0.0018066,0.017219,0.000271
