Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
3.25,1.8321,1.0684,1.6867,2.6777e-05,9.0232e-06,0.0003344,7.4924e-06
3.25,1.9997,1.383,1.8544,8.7906e-05,1.6045e-05,0.00045837,1.1742e-05
3.25,2.0841,1.5413,1.9387,9.9952e-05,1.4702e-05,0.00055514,9.9323e-06
3.25,2.1566,1.6773,2.0112,2.2215e-05,1.9373e-05,0.00070419,1.2653e-05
3.25,2.2192,1.7949,2.0739,0.00021094,2.9533e-05,0.00071406,1.5596e-05
3.25,2.2713,1.8925,2.1259,0.00024148,1.8697e-05,0.00076717,1.0954e-05
3.25,2.3064,1.9585,2.161,0.00029466,2.8836e-05,0.00081453,1.3382e-05
3.25,2.3383,2.0183,2.1929,0.00024669,3.4841e-05,0.00088858,1.2518e-05
3.25,2.3705,2.0787,2.2251,0.0002997,4.1258e-05,0.00095512,1.5618e-05
3.25,2.4025,2.1388,2.2571,0.00032819,3.1397e-05,0.0010038,1.2478e-05
3.25,2.4416,2.2121,2.2962,0.00035418,4.3022e-05,0.0010783,1.4417e-05
3.25,2.4765,2.2777,2.3312,0.00043455,3.6385e-05,0.0011105,1.3857e-05
3.25,2.5011,2.3239,2.3558,0.00042447,5.1061e-05,0.0011676,1.9115e-05
3.25,2.5301,2.3782,2.3847,0.00040091,4.1367e-05,0.0012551,1.7149e-05
3.25,2.5619,2.4379,2.4165,0.00046918,5.2946e-05,0.0012987,1.6028e-05
3.25,2.5938,2.4978,2.4484,0.00053661,5.2425e-05,0.0013485,1.8082e-05
3.25,2.6472,2.598,2.5019,0.00054203,5.8051e-05,0.0014778,2.2807e-05
3.25,2.713,2.7215,2.5676,0.00042184,5.2993e-05,0.0017053,2.2183e-05
3.25,2.7649,2.8188,2.6195,0.00052691,0.00013394,0.0018087,4.0067e-05
3.25,2.8502,2.9788,2.7048,0.00073704,0.00010527,0.0019633,4.0167e-05
3.25,2.9686,3.2012,2.8233,0.00092116,0.00011663,0.0022158,4.1072e-05
3.25,3.0983,3.4444,2.9529,0.0009073,0.00011501,0.0026012,3.6174e-05
3.25,3.1279,3.5,2.9825,0.0013625,0.00029349,0.0025803,5.3854e-05
3.25,3.1595,3.5592,3.0141,0.0013686,0.0002892,0.0026743,5.7992e-05
3.25,3.202,3.639,3.0566,0.0015705,0.00019125,0.0027552,4.19e-05
3.25,3.2531,3.7349,3.1077,0.0016016,0.00012136,0.002878,3.4699e-05
3.25,3.2958,3.8151,3.1504,0.002407,0.0002414,0.0029187,4.8968e-05
3.25,3.3387,3.8956,3.1933,0.0011162,0.00029617,0.0032072,4.9321e-05
3.25,3.3816,3.976,3.2362,0.0016512,0.00030519,0.0032612,5.0757e-05
3.25,3.424,4.0556,3.2786,0.0024411,0.00027668,0.0032862,5.3714e-05
3.25,3.4574,4.1184,3.3121,0.0022466,0.00035206,0.0033713,5.6837e-05
3.25,3.5017,4.2015,3.3563,0.0028392,0.00033837,0.0033833,5.6559e-05
3.25,3.5728,4.3349,3.4274,0.0040226,0.00040094,0.0034325,6.1565e-05
3.25,3.6688,4.5151,3.5235,0.0047566,0.00075063,0.0036578,0.00012673
