Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
2.75,2.8793,3.5335,2.7563,1.2214,0.30018,3.6873,0.088049
2.75,2.9116,3.5942,2.7886,2.1174,0.17973,3.5257,0.060611
2.75,2.9475,3.6614,2.8245,1.8543,0.30892,3.7435,0.079819
2.75,2.9784,3.7194,2.8554,2.4478,0.36424,3.7407,0.081755
2.75,3.0014,3.7626,2.8784,1.8836,0.35891,3.9814,0.090117
2.75,3.0334,3.8227,2.9104,2.4786,0.37434,3.9857,0.082268
2.75,3.0745,3.8999,2.9515,1.9709,0.36361,4.2053,0.085129
2.75,3.1179,3.9812,2.9948,2.698,0.23356,4.205,0.061618
2.75,3.2224,4.1773,3.0994,3.4379,0.4393,4.466,0.079584
2.75,3.2546,4.2378,3.1316,2.9857,0.45047,4.6785,0.073571
2.75,3.2782,4.282,3.1552,3.5076,0.46362,4.6643,0.082152
2.75,3.3073,4.3367,3.1843,3.4569,0.45278,4.7937,0.082589
2.75,3.3395,4.397,3.2165,3.7825,0.47886,4.8558,0.0808
2.75,3.3857,4.4838,3.2627,3.0216,0.46473,5.2194,0.080405
2.75,3.4493,4.6032,3.3263,3.027,0.77174,5.5238,0.14912
3.25,1.8321,1.0684,1.6867,0.026777,0.0090232,0.3344,0.0074924
3.25,1.9997,1.383,1.8544,0.087906,0.016045,0.45837,0.011742
3.25,2.0841,1.5413,1.9387,0.099952,0.014702,0.55514,0.0099323
3.25,2.1566,1.6773,2.0112,0.022215,0.019373,0.70419,0.012653
3.25,2.2192,1.7949,2.0739,0.21094,0.029533,0.71406,0.015596
3.25,2.2713,1.8925,2.1259,0.24148,0.018697,0.76717,0.010954
3.25,2.3064,1.9585,2.161,0.29466,0.028836,0.81453,0.013382
3.25,2.3383,2.0183,2.1929,0.24669,0.034841,0.88858,0.012518
3.25,2.3705,2.0787,2.2251,0.2997,0.041258,0.95512,0.015618
3.25,2.4025,2.1388,2.2571,0.32819,0.031397,1.0038,0.012478
3.25,2.4416,2.2121,2.2962,0.35418,0.043022,1.0783,0.014417
3.25,2.4765,2.2777,2.3312,0.43455,0.036385,1.1105,0.013857
3.25,2.5011,2.3239,2.3558,0.42447,0.051061,1.1676,0.019115
3.25,2.5301,2.3782,2.3847,0.40091,0.041367,1.2551,0.017149
3.25,2.5619,2.4379,2.4165,0.46918,0.052946,1.2987,0.016028
3.25,2.5938,2.4978,2.4484,0.53661,0.052425,1.3485,0.018082
3.25,2.6472,2.598,2.5019,0.54203,0.058051,1.4778,0.022807
3.25,2.713,2.7215,2.5676,0.42184,0.052993,1.7053,0.022183
3.25,2.7649,2.8188,2.6195,0.52691,0.13394,1.8087,0.040067
3.25,2.8502,2.9788,2.7048,0.73704,0.10527,1.9633,0.040167
3.25,2.9686,3.2012,2.8233,0.92116,0.11663,2.2158,0.041072
3.25,3.0983,3.4444,2.9529,0.9073,0.11501,2.6012,0.036174
3.25,3.1279,3.5,2.9825,1.3625,0.29349,2.5803,0.053854
3.25,3.1595,3.5592,3.0141,1.3686,0.2892,2.6743,0.057992
3.25,3.202,3.639,3.0566,1.5705,0.19125,2.7552,0.0419
3.25,3.2531,3.7349,3.1077,1.6016,0.12136,2.878,0.034699
3.25,3.2958,3.8151,3.1504,2.407,0.2414,2.9187,0.048968
3.25,3.3387,3.8956,3.1933,1.1162,0.29617,3.2072,0.049321
3.25,3.3816,3.976,3.2362,1.6512,0.30519,3.2612,0.050757
3.25,3.424,4.0556,3.2786,2.4411,0.27668,3.2862,0.053714
3.25,3.4574,4.1184,3.3121,2.2466,0.35206,3.3713,0.056837
3.25,3.5017,4.2015,3.3563,2.8392,0.33837,3.3833,0.056559
3.25,3.5728,4.3349,3.4274,4.0226,0.40094,3.4325,0.061565
3.25,3.6688,4.5151,3.5235,4.7566,0.75063,3.6578,0.12673
3.75,1.9577,0.80399,1.7899,0.027534,0.010505,0.15204,0.0076356
3.75,2.0419,0.96207,1.8742,0.041015,0.0091964,0.1876,0.0061867
3.75,2.1072,1.0846,1.9394,0.05542,0.010503,0.21641,0.0066974
3.75,2.1675,1.1977,1.9997,0.056876,0.014105,0.26002,0.0089584
3.75,2.2098,1.2772,2.0421,0.090514,0.011918,0.26957,0.0065876
3.75,2.2441,1.3415,2.0764,0.096768,0.016788,0.29811,0.0074239
3.75,2.2856,1.4194,2.1179,0.10595,0.011585,0.31782,0.0073321
3.75,2.3262,1.4956,2.1585,0.11683,0.013952,0.35381,0.0072746
3.75,2.3597,1.5584,2.192,0.12407,0.011985,0.38528,0.0069895
3.75,2.3947,1.6242,2.227,0.17945,0.018544,0.39949,0.0074076
3.75,2.434,1.6979,2.2663,0.17356,0.021629,0.45669,0.0083526
3.75,2.4735,1.7719,2.3057,0.14311,0.015376,0.50246,0.0085409
3.75,2.5192,1.8578,2.3515,0.21005,0.022642,0.52841,0.0095743
3.75,2.5728,1.9584,2.4051,0.14773,0.01808,0.63149,0.0093761
3.75,2.6152,2.038,2.4475,0.23018,0.039344,0.66316,0.014861
3.75,2.6395,2.0834,2.4717,0.19239,0.026088,0.71335,0.013161
3.75,2.6681,2.1373,2.5004,0.22817,0.041974,0.73976,0.015699
3.75,2.7555,2.3012,2.5878,0.33253,0.036916,0.84419,0.017169
3.75,2.882,2.5386,2.7143,0.23856,0.044392,1.1134,0.018751
3.75,2.9567,2.6788,2.789,0.34212,0.12664,1.2022,0.035312
3.75,2.9783,2.7192,2.8105,0.64997,0.088494,1.1878,0.026079
3.75,3.0093,2.7775,2.8416,0.4002,0.0889,1.2945,0.023868
3.75,3.0528,2.8591,2.8851,0.38498,0.081655,1.3929,0.022698
3.75,3.1008,2.9492,2.9331,0.5084,0.10895,1.4519,0.025851
3.75,3.1487,3.039,2.9809,0.5351,0.10001,1.5462,0.025842
3.75,3.2867,3.2981,3.119,0.013137,0.17604,1.9401,0.028959
3.75,3.3278,3.3751,3.16,0.78966,0.15738,1.8809,0.026568
3.75,3.3685,3.4515,3.2008,1.4349,0.16391,1.8178,0.027804
3.75,3.4095,3.5284,3.2417,1.3095,0.16731,1.8867,0.028013
3.75,3.4555,3.6148,3.2878,1.4319,0.09881,1.986,0.025312
3.75,3.4982,3.6948,3.3304,1.6166,0.20807,2.0784,0.031029
3.75,3.5342,3.7625,3.3665,1.6548,0.21029,2.1273,0.03754
3.75,3.5795,3.8475,3.4118,1.4411,0.23708,2.2987,0.035845
3.75,3.7001,4.0738,3.5324,1.3347,0.15472,2.6712,0.0332
