q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
1.921,1.0444,0.24069,0.92811,0.090234,0.018775,-0.034788,0.024657
1.921,1.1079,0.49673,0.99778,0.037144,0.003622,0.19197,0.0041121
1.921,1.1471,0.65858,1.0409,0.063231,0.0055781,0.33162,0.0061268
1.921,1.1767,0.78292,1.0736,0.085905,0.0088691,0.46111,0.0091627
1.921,1.2,0.88198,1.0993,0.10357,0.0089361,0.56891,0.0088478
1.921,1.2221,0.97679,1.1238,0.1515,0.015013,0.68318,0.012732
1.921,1.2372,1.0426,1.1406,0.19049,0.017188,0.74357,0.014515
1.921,1.2521,1.1073,1.1571,0.21734,0.02019,0.84102,0.015856
1.921,1.2695,1.1841,1.1765,0.25381,0.021229,0.93961,0.016615
1.921,1.2867,1.2602,1.1957,0.29489,0.024704,1.0665,0.019531
1.921,1.3007,1.3229,1.2113,0.30019,0.030449,1.2008,0.0239
1.921,1.315,1.387,1.2273,0.35212,0.031071,1.2981,0.023018
1.921,1.3326,1.4665,1.2469,0.41288,0.032442,1.4777,0.02341
1.921,1.3502,1.5468,1.2667,0.50892,0.037943,1.637,0.027234
1.921,1.3707,1.641,1.2897,0.61515,0.049476,1.88,0.035777
1.921,1.392,1.74,1.3136,0.74976,0.049775,2.1869,0.031315
1.921,1.4104,1.8261,1.3343,0.82338,0.05756,2.5426,0.036102
1.921,1.4276,1.9071,1.3537,0.9493,0.063102,2.8539,0.035562
1.921,1.4454,1.9914,1.3737,1.2262,0.070258,3.1784,0.039241
1.921,1.4662,2.0914,1.3973,1.5182,0.084817,3.6191,0.041093
1.921,1.4916,2.2138,1.426,2.1726,0.13725,4.1991,0.051924
1.921,1.5222,2.3635,1.4607,2.6672,0.13825,5.124,0.058585
1.921,1.5554,2.5279,1.4985,3.3752,0.17357,6.3771,0.077562
1.921,1.5854,2.6789,1.5328,4.8937,0.1955,7.2878,0.082055
1.921,1.6136,2.822,1.565,6.477,0.27907,8.4168,0.10792
1.921,1.6369,2.9414,1.5917,7.5835,0.34904,9.5569,0.13172
1.921,1.6536,3.0274,1.6108,9.2464,0.42873,10.148,0.1618
1.921,1.6691,3.108,1.6286,9.2864,1.0994,11.457,0.42349
1.921,1.6879,3.2067,1.6503,11.169,0.66023,12.531,0.22033
1.921,1.7069,3.3066,1.6721,12.686,0.73934,13.858,0.20327
1.921,1.7235,3.3949,1.6913,16.097,0.8607,14.707,0.23299
1.921,1.7422,3.4946,1.7129,19.728,1.1317,15.896,0.29563
1.921,1.7595,3.5875,1.7329,22.683,1.9117,17.504,0.47047
1.921,1.7744,3.6683,1.7502,27.782,2.3934,18.605,0.54799
1.921,1.7929,3.7691,1.7716,34.007,2.7152,20.5,0.52525
1.921,1.8148,3.8891,1.797,47.495,4.1195,22.589,0.66703
1.921,1.8365,4.0092,1.8223,72.676,5.6337,24.133,0.70758
