q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.167,0.0097983,0.87095,0.0085551,0.0054416,0.00063798,-0.0008109,0.00010485
0.167,0.016983,0.88463,0.015748,0.029508,0.0012417,0.020295,0.0014311
0.167,0.0219,0.89404,0.020674,0.027615,0.0010557,0.016892,0.00083679
0.167,0.015783,0.88233,0.014547,0.014014,0.00065943,0.01455,0.00054677
0.167,0.016098,0.88294,0.014862,0.015796,0.0010165,0.022348,0.0013818
0.167,0.01645,0.88361,0.015214,0.025843,0.00095234,0.016143,0.00066122
0.167,0.016765,0.88421,0.01553,0.026759,0.00099348,0.014375,0.00081116
0.167,0.017415,0.88545,0.016181,0.056713,0.0013269,0.010858,0.00079625
0.167,0.017623,0.88585,0.01639,0.049151,0.00097776,0.0047387,0.00069949
0.167,0.017989,0.88655,0.016756,0.020482,0.00052061,0.0053301,0.00035647
0.167,0.018376,0.88729,0.017144,0.018248,0.00065355,0.0094705,0.00048973
0.167,0.018791,0.88808,0.01756,0.010721,0.00062593,0.015998,0.00058378
0.167,0.019231,0.88892,0.018,0.014391,0.0007249,0.017114,0.0006363
0.167,0.019671,0.88977,0.018441,0.021811,0.00081511,0.012653,0.0006331
0.167,0.020134,0.89065,0.018904,0.015372,0.00093718,0.025432,0.001103
0.167,0.020552,0.89146,0.019323,0.023263,0.0010891,0.021305,0.0010155
0.167,0.020942,0.89221,0.019714,0.030292,0.0010907,0.017747,0.00073557
0.167,0.021442,0.89316,0.020215,0.028661,0.00095541,0.01354,0.00097557
0.167,0.022308,0.89483,0.021083,0.034742,0.0010422,0.016707,0.00087522
0.167,0.02266,0.8955,0.021435,0.039934,0.0013697,0.018276,0.00096886
0.167,0.022938,0.89604,0.021714,0.045173,0.001331,0.020702,0.0010974
0.167,0.023272,0.89668,0.022049,0.055425,0.0014899,0.019325,0.0011087
0.167,0.023704,0.89751,0.022481,0.061692,0.0017927,0.014779,0.0009765
0.167,0.024203,0.89847,0.022982,0.055943,0.0013741,0.01368,0.00089122
0.167,0.024668,0.89937,0.023447,0.049547,0.0015165,0.015189,0.00090616
0.167,0.025116,0.90023,0.023897,0.052015,0.0015329,0.014847,0.00076161
0.167,0.025566,0.9011,0.024348,0.056142,0.001587,0.011529,0.0008093
0.167,0.025971,0.90188,0.024753,0.047773,0.0012387,0.014595,0.00087221
0.167,0.026432,0.90277,0.025215,0.043373,0.0011571,0.01467,0.00084641
0.167,0.026878,0.90363,0.025662,0.048545,0.0014199,0.013314,0.00069138
0.167,0.027282,0.90441,0.026067,0.050755,0.0014867,0.012656,0.00081523
0.167,0.027699,0.90521,0.026486,0.048543,0.0014653,0.013905,0.00085174
0.167,0.028179,0.90614,0.026967,0.046513,0.0014133,0.015229,0.00073816
0.167,0.028666,0.90708,0.027455,0.044894,0.0014018,0.014837,0.00085736
0.167,0.029136,0.90799,0.027926,0.041375,0.0011155,0.014443,0.00082206
0.167,0.029578,0.90885,0.02837,0.040826,0.001235,0.013083,0.00063738
0.167,0.030053,0.90977,0.028846,0.042529,0.0012924,0.012503,0.00075498
0.167,0.030561,0.91075,0.029355,0.043306,0.0012811,0.011249,0.00071262
0.167,0.030987,0.91158,0.029783,0.042101,0.0010366,0.01192,0.00059757
0.167,0.032889,0.91527,0.03169,0.038186,0.00055684,0.012169,0.00040847
0.167,0.034758,0.9189,0.033565,0.034776,0.00056618,0.01314,0.0003642
0.167,0.036156,0.92162,0.034967,0.035025,0.00067706,0.012524,0.00030817
0.167,0.037887,0.925,0.036704,0.032415,0.00050658,0.012883,0.00043817
0.167,0.10167,1.0536,0.10088,0.0069708,0.0011929,0.0022975,0.0010767
