6.000000000000000000e+02,3.600000000000000000e+01,5.000000000000000000e+00,1.444266940992261006e+01,1.522179651681690449e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.500000000000000000e+01,1.925654743008622560e+01,1.731109121495899295e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.500000000000000000e+01,2.116741747295871079e+01,1.814357611857353725e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.500000000000000000e+01,2.639937612630161823e+01,2.026264340974801015e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.500000000000000000e+01,3.214138964642512519e+01,2.235962235762925243e-01
6.000000000000000000e+02,3.600000000000000000e+01,5.500000000000000000e+01,3.880248342836923570e+01,3.099973183058601922e-01
6.000000000000000000e+02,3.600000000000000000e+01,6.500000000000000000e+01,4.382356441293163130e+01,3.294499355973988242e-01
6.000000000000000000e+02,3.600000000000000000e+01,7.500000000000000000e+01,4.542549540721267221e+01,2.843373693683247105e-01
6.000000000000000000e+02,3.600000000000000000e+01,8.500000000000000000e+01,4.555529668373298335e+01,2.845028841856576673e-01
6.000000000000000000e+02,3.600000000000000000e+01,9.500000000000000000e+01,4.361943080789073690e+01,2.785096884309801180e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.050000000000000000e+02,3.923918064053486887e+01,2.642624566317503532e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.150000000000000000e+02,3.383218167337025051e+01,2.453867623196503978e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.250000000000000000e+02,2.802311471622182282e+01,2.116488106528109370e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.350000000000000000e+02,2.350816825836465185e+01,1.939535426179425648e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.450000000000000000e+02,1.970813619267002537e+01,1.777235188807039235e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.550000000000000000e+02,1.658796576763575814e+01,1.632595452089296018e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.650000000000000000e+02,1.430447693816892674e+01,1.215593698344100970e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.750000000000000000e+02,1.248312087141848536e+01,1.137372613925666937e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.850000000000000000e+02,1.107281599693284058e+01,1.074523151289191597e-01
6.000000000000000000e+02,3.600000000000000000e+01,1.950000000000000000e+02,1.039924811266315352e+01,1.043848790340549115e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.050000000000000000e+02,1.072866975765525765e+01,1.121406086088086729e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.150000000000000000e+02,9.739603878017240035e+00,1.072543037723652504e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.250000000000000000e+02,9.363142681799244471e+00,1.055846445938135592e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.350000000000000000e+02,1.035251527055416432e+01,9.199076187523118342e-02
6.000000000000000000e+02,3.600000000000000000e+01,2.450000000000000000e+02,1.085206672363725744e+01,9.409634895680067668e-02
6.000000000000000000e+02,3.600000000000000000e+01,2.550000000000000000e+02,1.127425788073079005e+01,9.631449421761828500e-02
6.000000000000000000e+02,3.600000000000000000e+01,2.650000000000000000e+02,1.189846608908296943e+01,9.925167761794297105e-02
6.000000000000000000e+02,3.600000000000000000e+01,2.750000000000000000e+02,1.208495717270860936e+01,1.094403503514207038e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.850000000000000000e+02,1.232271184572722156e+01,1.108588983166913788e-01
6.000000000000000000e+02,3.600000000000000000e+01,2.950000000000000000e+02,1.277665617158060840e+01,1.134997624623383800e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.050000000000000000e+02,1.363510213237163349e+01,1.189563267977731126e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.150000000000000000e+02,1.364739559794199053e+01,1.235558923840204271e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.250000000000000000e+02,1.409919711331617620e+01,1.262705323620074982e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.350000000000000000e+02,1.464429850460535221e+01,1.291682168787398610e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.650000000000000000e+02,1.363229024536316203e+01,1.437980357599027703e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.750000000000000000e+02,1.535300644229636546e+01,1.528493127357237469e-01
6.000000000000000000e+02,3.600000000000000000e+01,3.950000000000000000e+02,1.409930441089058206e+01,1.326605343290218342e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.050000000000000000e+02,1.389580000889509215e+01,1.342428641235357545e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.150000000000000000e+02,1.488530141288958930e+01,1.483987748256947736e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.350000000000000000e+02,1.547073505796883097e+01,1.539790109843193200e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.450000000000000000e+02,1.624833265938478633e+01,1.602122481338166538e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.750000000000000000e+02,2.090276662114350614e+01,2.170896951627803440e-01
6.000000000000000000e+02,3.600000000000000000e+01,4.850000000000000000e+02,2.457456301032640056e+01,2.342863393336773459e-01
6.000000000000000000e+02,3.600000000000000000e+01,5.150000000000000000e+02,4.568621583484363669e+01,3.555957764713408853e-01
6.000000000000000000e+02,3.600000000000000000e+01,5.250000000000000000e+02,5.543255126973967606e+01,4.065456744136162204e-01
