qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.24,0.0576,-0.00248,0.0001,1.250802e-10,1.110049e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.250802e-10,1.110049e-08
0.24,0.0576,-0.00238,0.0002,1.358707e-10,1.1955e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.358707e-10,1.1955e-08
0.24,0.0576,-0.00228,0.0003,1.475562e-10,1.287411e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.475562e-10,1.287411e-08
0.24,0.0576,-0.00218,0.0004,1.602078e-10,1.386259e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.602078e-10,1.386259e-08
0.24,0.0576,-0.00208,0.0005,1.739018e-10,1.492554e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.739018e-10,1.492554e-08
0.24,0.0576,-0.00198,0.0006,1.887205e-10,1.606844e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.887205e-10,1.606844e-08
0.24,0.0576,-0.00188,0.0007,2.04752e-10,1.729712e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.04752e-10,1.729712e-08
0.24,0.0576,-0.00178,0.0008,2.220914e-10,1.861785e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.220914e-10,1.861785e-08
0.24,0.0576,-0.00168,0.0009,2.408406e-10,2.003736e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.408406e-10,2.003736e-08
0.24,0.0576,-0.00158,0.001,2.611092e-10,2.156281e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.611092e-10,2.156281e-08
0.24,0.0576,-0.00148,0.0011,2.830146e-10,2.320188e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.830146e-10,2.320188e-08
0.24,0.0576,-0.00138,0.0012,3.066832e-10,2.496281e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.066832e-10,2.496281e-08
0.24,0.0576,-0.00128,0.0013,3.322503e-10,2.685437e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.322503e-10,2.685437e-08
0.24,0.0576,-0.00118,0.0014,3.598614e-10,2.888597e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.598614e-10,2.888597e-08
0.24,0.0576,-0.00108,0.0015,3.896722e-10,3.106766e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.896722e-10,3.106766e-08
0.24,0.0576,-0.00098,0.0016,4.218499e-10,3.341021e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.218499e-10,3.341021e-08
0.24,0.0576,-0.00088,0.0017,4.565736e-10,3.592512e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.565736e-10,3.592512e-08
0.24,0.0576,-0.00078,0.0018,4.940354e-10,3.86248e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.940354e-10,3.86248e-08
0.24,0.0576,-0.00068,0.0019,5.344408e-10,4.152263e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.344408e-10,4.152263e-08
0.24,0.0576,-0.00058,0.002,5.780102e-10,4.463344e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.780102e-10,4.463344e-08
0.24,0.0576,-0.00048,0.0021,6.249795e-10,4.797426e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.249795e-10,4.797426e-08
0.24,0.0576,-0.00038,0.0022,6.756011e-10,5.156643e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.756011e-10,5.156643e-08
0.24,0.05759,-0.00028,0.0023,7.301453e-10,5.544038e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.301453e-10,5.544038e-08
0.24,0.05759,-0.00018,0.0024,7.889011e-10,5.964705e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.889011e-10,5.964705e-08
0.24,0.05759,-8e-05,0.0025,8.521777e-10,6.428412e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.521777e-10,6.428412e-08
0.24,0.05759,2e-05,0.0026,9.203056e-10,6.955554e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.203056e-10,6.955554e-08
0.24,0.05759,0.00012,0.0027,9.936383e-10,7.59031e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.936383e-10,7.59031e-08
0.24,0.05759,0.00022,0.0028,1.072553e-09,8.429106e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.072553e-09,8.429106e-08
0.24,0.05759,0.00032,0.0029,1.157454e-09,9.680746e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.157454e-09,9.680746e-08
0.24,0.05759,0.00042,0.003,1.248771e-09,1.179053e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.248771e-09,1.179053e-07
0.24,0.05759,0.00052,0.0031,1.346966e-09,1.569035e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.346966e-09,1.569035e-07
0.24,0.05759,0.00062,0.0032,1.452527e-09,2.329057e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.452527e-09,2.329057e-07
0.24,0.05759,0.00072,0.0033,1.565981e-09,3.842411e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.565981e-09,3.842411e-07
0.24,0.05759,0.00082,0.0034,1.687885e-09,6.861362e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.687885e-09,6.861362e-07
0.24,0.05759,0.00092,0.0035,1.818836e-09,1.282966e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.818836e-09,1.282966e-06
0.24,0.05759,0.00102,0.0036,1.95947e-09,2.44561e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.95947e-09,2.44561e-06
0.24,0.05759,0.00112,0.0037,2.110464e-09,4.670784e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.110464e-09,4.670784e-06
