qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.38,0.1444,-0.00636,0.0001,2.800321e-12,3.021624e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.800321e-12,3.021624e-10
0.38,0.1444,-0.00626,0.0002,3.070845e-12,3.231666e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.070845e-12,3.231666e-10
0.38,0.1444,-0.00616,0.0003,3.366684e-12,3.455876e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.366684e-12,3.455876e-10
0.38,0.1444,-0.00606,0.0004,3.690127e-12,3.695179e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.690127e-12,3.695179e-10
0.38,0.1444,-0.00596,0.0005,4.04366e-12,3.950559e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.04366e-12,3.950559e-10
0.38,0.1444,-0.00586,0.0006,4.429986e-12,4.22306e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.429986e-12,4.22306e-10
0.38,0.1444,-0.00576,0.0007,4.852042e-12,4.513796e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.852042e-12,4.513796e-10
0.38,0.1444,-0.00566,0.0008,5.313017e-12,4.823946e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.313017e-12,4.823946e-10
0.38,0.1444,-0.00556,0.0009,5.816372e-12,5.154766e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.816372e-12,5.154766e-10
0.38,0.1444,-0.00546,0.001,6.365868e-12,5.50759e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.365868e-12,5.50759e-10
0.38,0.1444,-0.00536,0.0011,6.965582e-12,5.883833e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.965582e-12,5.883833e-10
0.38,0.1444,-0.00526,0.0012,7.619942e-12,6.285e-10,0.0,0.0,0.0,0.0,0.0,0.0,7.619942e-12,6.285e-10
0.38,0.1444,-0.00516,0.0013,8.333747e-12,6.712688e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.333747e-12,6.712688e-10
0.38,0.1444,-0.00506,0.0014,9.112202e-12,7.168595e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.112202e-12,7.168595e-10
0.38,0.1444,-0.00496,0.0015,9.96095e-12,7.654521e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.96095e-12,7.654521e-10
0.38,0.1444,-0.00486,0.0016,1.088611e-11,8.17238e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.088611e-11,8.17238e-10
0.38,0.1444,-0.00476,0.0017,1.18943e-11,8.7242e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.18943e-11,8.7242e-10
0.38,0.1444,-0.00466,0.0018,1.29927e-11,9.312135e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.29927e-11,9.312135e-10
0.38,0.1444,-0.00456,0.0019,1.418908e-11,9.938473e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.418908e-11,9.938473e-10
0.38,0.1444,-0.00446,0.002,1.549186e-11,1.060564e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.549186e-11,1.060564e-09
0.38,0.1444,-0.00436,0.0021,1.691015e-11,1.131621e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.691015e-11,1.131621e-09
0.38,0.1444,-0.00426,0.0022,1.845379e-11,1.20729e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.845379e-11,1.20729e-09
0.38,0.14439,-0.00416,0.0023,2.013344e-11,1.287863e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.013344e-11,1.287863e-09
0.38,0.14439,-0.00406,0.0024,2.196063e-11,1.373645e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.196063e-11,1.373645e-09
0.38,0.14439,-0.00396,0.0025,2.394782e-11,1.464963e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.394782e-11,1.464963e-09
0.38,0.14439,-0.00386,0.0026,2.610848e-11,1.562161e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.610848e-11,1.562161e-09
0.38,0.14439,-0.00376,0.0027,2.845716e-11,1.665606e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.845716e-11,1.665606e-09
