Q2,scaleRL,scaleRT
0.01,0.44104633826236583,1.9428010227035537
0.02,0.6176545071204338,1.3114876255348666
0.026,0.6858040195631645,1.2339423587920848
0.04,0.7837100835554771,1.1721544382873437
0.056,0.8489046622802612,1.1546059733226457
0.093,0.9260392015771913,1.159761015950974
0.12,0.9527957061354716,1.1667964478832646
0.16,0.9648036874794693,1.1645525765351437
0.265,0.9645420849756978,1.1486173307997691
0.38,0.9704067431219465,1.1374209567234916
0.5,0.9845011399215181,1.1349959950160093
0.8,1.0184615325729118,1.1316217653822687
1.25,1.0096906849986567,1.1147255714804476
