Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,systError,error_with_syst,Ep,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,Veff,Ffoc2,E0original,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),RT_QD_data,qvbin,qvcenter,Q2bin,Q2center,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex
6,12,0.1227,90.0,0.0071,86760.0,9860.0,1,0.9919,0.0024,0.0,9860.0,0.11560000000000001,86057.244,9782.350346012558,1.5707963267948966,0.4999999999999999,0.5000000000000001,0.9999999999999998,0.005833876221498382,0.0031,1.0525112974127808,0.1196,0.028368239999999996,0.028418649999999997,0.16857832007704904,0.865311459129,0.33293891453536945,-0.00014756284034729344,-583190482.0852036,-66818990.31486655,0.0018613939514284272,179.50161597366457,15447414.36423995,1755947.6951297908,39.671919124351874,4.509610042509446,1.572148874638724e-08,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0,0.0,0.0,0.0,0.0,0.008570000000000001,0.009732998747539811,0.33252562633075033,0.0,0.0,0.0,0.0,0.0,0.008995,0.0102378067325688,0.3324971282660785,0.0,0.0,0.03339500588465589,5.487648379365832e-08,1.0,0.040010120370964915,1.2243322869282315e-06,0.040010120370964915,3.2471008546506756e-07,0.9987925943474145,0.0,0.0,0.03339500588465602,5.487648379365832e-08,1.0,0.04575175715638155,1.6400115376119082e-06,0.03317426626760967,5.4945756411671693e-08,1.3773750359285868
6,12,0.1227,90.0,0.0121,26350.0,5890.0,1,0.9919,0.0024,0.0,5890.0,0.1106,26136.565,5842.633261319847,1.5707963267948966,0.4999999999999999,0.5000000000000001,0.9999999999999998,0.010833876221498381,0.0031,1.0525112974127808,0.1196,0.027141239999999994,0.027287649999999993,0.1651897393907987,0.8759211891290001,0.3321388791057478,-4.34478191943301e-05,-601562183.8946245,-135564916.93301466,0.0018613939514284272,180.36585244630777,4714143.826243332,1053811.5287091054,12.106824365909986,2.7063898691057244,5.2029688256692525e-06,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0,0.0,0.0,0.0,0.0,0.008570000000000001,0.009732998747539811,0.33252562633075033,0.0,0.0,0.0,0.0,0.0,0.008995,0.0102378067325688,0.3324971282660785,0.0,0.0,0.02139258342555028,6.784475864927893e-06,1.0,0.040010120370964915,1.2243322869282315e-06,0.040010120370964915,5.5119574223879325e-06,1.0010019310364626,0.0,0.0,0.02139258342555028,6.784475864927893e-06,1.0,0.04575175715638155,1.6400115376119082e-06,0.022866119225492327,6.706367651075271e-06,2.0022313483300818
6,12,0.1227,90.0,0.0171,25810.0,4670.0,1,0.9919,0.0024,0.0,4670.0,0.1056,25600.939,4632.587156337698,1.5707963267948966,0.4999999999999999,0.5000000000000001,0.9999999999999998,0.015833876221498382,0.0031,1.0525112974127808,0.1196,0.025914239999999995,0.026206649999999995,0.16188468117768276,0.8865309191290001,0.3308445535248522,6.037343073876786e-05,424043137.6307517,77351907.00370838,0.0018613939514284272,181.7739962421151,4653584.989580617,842083.8803473993,11.951297672982678,2.1626327105200387,4.058153423769037e-05,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0,0.0,0.0,0.0,9.0,0.015805,0.01696799874753981,0.33089057202205246,0.0,0.0,0.0,0.0,9.0,0.015835000000000002,0.017069462044441153,0.3310035836420791,0.0,0.0,0.0319321590946683,0.012983179441077776,1.0,0.03215510658801783,0.013482462328446342,0.03215510658801783,0.013483088395503866,0.9999854653217326,0.0,0.0,0.0319321590946683,0.012983179441077776,1.0,0.032776939363228924,0.01376790603931115,0.03212594986354881,0.013374805981805456,1.0238252557723566
6,12,0.1227,90.0,0.0221,40060.0,4770.0,1,0.9919,0.0024,0.0,4770.0,0.10060000000000001,39735.514,4732.33974969095,1.5707963267948966,0.4999999999999999,0.5000000000000001,0.9999999999999998,0.020833876221498383,0.0031,1.0525112974127808,0.1196,0.024687239999999996,0.025175649999999997,0.15866836483685082,0.897140649129,0.3289941408774745,0.00016365807799892412,242795922.3635831,29146132.340814598,0.0018613939514284272,183.80874571802093,7303734.988800861,869845.4337022267,18.757390521754374,2.2339296974131124,0.00010839735785623108,"[0.158,0.186]",0.167,"[0.015,0.025]",0.02,0.0,0.0,0.0,0.0,25.0,0.020819999999999998,0.02171461442118447,0.3281752446202843,0.0,0.0,0.0,0.0,28.0,0.020815,0.022040765104383908,0.32943986302119743,0.0,0.0,0.035634672160838786,0.012236455757466385,1.0,0.03592358334845657,0.011364137861823142,0.03592358334845657,0.01135610773148883,0.9997856232039886,0.0,0.0,0.0356346721608388,0.012236455757466376,1.0,0.03422083769527587,0.013138385659173921,0.03465735558665942,0.01258183454151911,1.0079649125766688
6,12,0.1227,145.0,0.0021,17100.0,700.0,1,0.9919,0.0024,0.0,700.0,0.1206,16961.49,695.5418251262824,2.5307274153917776,0.909576022144496,0.0904239778555042,10.059013590377337,-0.0001834698546150557,0.0031,1.0525112974127808,0.1196,0.05383824134722335,0.05384265134722335,0.23204019338731674,0.8304587277817767,0.04734921327009327,-0.0001883793359104176,-90039015.78709202,-3715906.5065017524,0.0001017217691003898,465.5539413794316,7896488.521167816,323812.23808178416,20.279695138064362,0.8316118554050312,0.0,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,5.606141715507069e-08,4.602887027273866e-12,1.0,,,,,,0.0,0.0,5.606141715507067e-08,4.602887027273866e-12,1.0,,,6.143543712302805e-08,5.0696901858738955e-12,
6,12,0.1227,145.0,0.0071,4800.0,340.0,1,0.9919,0.0024,0.0,340.0,0.11560000000000001,4761.12,337.44269871490775,2.5307274153917776,0.909576022144496,0.0904239778555042,10.059013590377337,0.004816530145384945,0.0031,1.0525112974127808,0.1196,0.05160614178888076,0.05165655178888076,0.22728077742933026,0.8420735573401192,0.04730888402737228,-0.0001445234434747028,-32943582.615600914,-2352559.5005595973,0.0001017217691003898,465.9902622457252,2218635.5573833673,157245.0116670651,5.69788110317548,0.40383531110583426,7.78073473804858e-10,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0,0.0,0.0,0.0,0.0,0.00265,0.005154920379316514,0.04733151180144997,0.0,0.0,0.0,0.0,0.0,0.0026950000000000003,0.00527024711466062,0.04733115463626469,0.0,0.0,0.24070075585373288,1.0531261558955903e-09,1.0,0.010968244636782289,2.6503231071671516e-11,0.010968244636782289,8.045758806442158e-10,1.0004775477676635,0.0,0.0,0.24070075585373318,1.0531261558955903e-09,1.0,0.012782084539522289,1.9906574179746688e-11,0.23637874088008984,1.0577944859184591e-09,0.054100048296417444
6,12,0.1227,145.0,0.0121,2390.0,210.0,1,0.9919,0.0024,0.0,210.0,0.1106,2370.641,208.37796211931817,2.5307274153917776,0.909576022144496,0.0904239778555042,10.059013590377337,0.009816530145384944,0.0031,1.0525112974127808,0.1196,0.04937404223053816,0.04952045223053816,0.2225319128362001,0.8536883868984618,0.04721951735467405,-0.00010066608257049076,-23549550.54836841,-2086104.8193958367,0.0001017217691003898,466.95977917887416,1106993.9978723854,97304.12717698062,2.8429726373108157,0.2498956377299689,1.9005632024999074e-06,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0,0.0,0.0,0.0,1.0,0.00991,0.012414920379316515,0.04722907367810157,0.0,0.0,0.0,0.0,0.0,0.01004,0.011913459897712642,0.047200532194247344,0.0,0.0,0.09711357082328746,1.9864031299762715e-06,1.0,0.10111267717015476,1.895550830054846e-06,0.10111267717015476,1.958795130973727e-06,1.0001956554739448,0.0,0.0,0.09711357082328746,1.9864031299762715e-06,1.0,0.082201897913871,2.652546160983662e-06,0.09910429542272446,1.977294761238112e-06,0.8292235643834206
6,12,0.1227,145.0,0.0171,3280.0,260.0,1,0.9919,0.0024,0.0,260.0,0.1056,3253.432,258.0141151565162,2.5307274153917776,0.909576022144496,0.0904239778555042,10.059013590377337,0.014816530145384945,0.0031,1.0525112974127808,0.1196,0.04714194267219557,0.04743435267219557,0.2177942898062196,0.8653032164568044,0.047074741641037934,-5.6813644461649166e-05,-57264976.23640672,-4576365.456989956,0.0001017217691003898,468.53824468278555,1524357.3184748043,120889.48061881619,3.914841592852022,0.3104673432724707,2.1594458274078208e-05,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0,0.0,0.0,0.0,4.0,0.014735,0.017239920379316515,0.047114692105681,0.0,0.0,0.0,0.0,2.0,0.0149,0.016767232953082356,0.047051030145866285,0.0,0.0,0.024914446396957977,0.005811095560109782,1.0,0.019587336268383763,0.002696723206329687,0.019587336268383763,0.002700154009832498,0.9990568938604399,0.0,0.0,0.024914446396958792,0.0058110955601103015,1.0,0.02460895311881242,0.006455950673236987,0.0225592005350556,0.004395305417202962,1.3465480092042479
6,12,0.1227,145.0,0.0221,7220.0,410.0,1,0.9919,0.0024,0.0,410.0,0.10060000000000001,7161.518,407.04799302416416,2.5307274153917776,0.909576022144496,0.0904239778555042,10.059013590377337,0.019816530145384946,0.0031,1.0525112974127808,0.1196,0.04490984311385298,0.04539825311385298,0.21306865821573331,0.8769180460151471,0.046867345280657065,-1.2973676701882405e-05,-552003735.2989461,-31602452.36730089,0.0001017217691003898,470.8164817662166,3371760.708865432,191644.90398563645,8.659327379631556,0.49218082406805636,6.991616817037838e-05,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0,0.0,0.0,0.0,0.0,0.014275,0.01606422884236894,0.047063655348638204,0.0,0.0,0.0,0.0,17.0,0.01947,0.021329458498843934,0.04686430823745204,0.0,0.0,0.027480056245577308,0.021319269425707953,1.0,0.017284660705556846,0.0027084013495060314,0.017284660705556846,0.002758243277495039,0.9873924561706205,0.0,0.0,0.02748005624557733,0.02131926942570791,1.0,0.024607078791734068,0.02270238632972178,0.025953681160534973,0.02325227738239979,0.9737571893617055
6,12,0.1628,90.0,0.0022,122300.0,5450.0,1,0.9919,0.0024,0.0,5450.0,0.1606,121309.37,5413.817716863488,1.5707963267948966,0.4999999999999999,0.5000000000000001,0.9999999999999998,-4.9494165483312137e-05,0.0031,1.0391995950453436,0.1597,0.05229135999999998,0.05229619999999998,0.2286836242497481,0.832193263729,0.3333127660887271,-0.00026849029623708464,-451820314.1795499,-20298685.190423023,0.0010439767466419872,319.33131820260235,38737881.03242722,1728801.5480346207,99.48629894494526,4.439893536775618,0.0,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0,0.0,0.0,0.0,0.0,0.00265,0.005154920379316514,0.3332279174587126,0.0,0.0,0.0,0.0,0.0,0.0026950000000000003,0.00527024711466062,0.3332261575233685,0.0,0.0,6.426510981456727e-08,7.141518009536254e-12,1.0,0.010968244636782289,2.6503231071671516e-11,0.010968244636782289,2.6502406839357828e-11,0.9997454384054847,0.0,0.0,6.426510981456576e-08,7.141518009536088e-12,1.0,0.012782084539522289,1.9906574179746688e-11,6.880574933811511e-08,7.651652822361497e-12,185691.33794916488
