Z,A,theta,E0,Ex,dataSet,cross,error,nu
6,12,60,0.1025,0.0357,Ricco: 1968,170833.3333,15384.61538,0.03616781
6,12,60,0.1025,0.036,Ricco: 1968,161217.9487,16025.64103,0.03646781
6,12,60,0.1025,0.0363,Ricco: 1968,170833.3333,14423.07692,0.03676781
6,12,60,0.1025,0.0367,Ricco: 1968,150641.0256,13461.53846,0.03716781
6,12,60,0.1025,0.037,Ricco: 1968,183333.3333,15064.10256,0.03746781
6,12,60,0.1025,0.0373,Ricco: 1968,188782.0513,14102.5641,0.03776781
6,12,60,0.1025,0.0377,Ricco: 1968,205448.7179,15384.61538,0.03816781
6,12,60,0.1025,0.038,Ricco: 1968,168269.2308,14423.07692,0.03846781
6,12,60,0.1025,0.0384,Ricco: 1968,191025.641,13141.02564,0.03886781
6,12,60,0.1025,0.0387,Ricco: 1968,160256.4103,13782.05128,0.03916781
6,12,60,0.1025,0.039,Ricco: 1968,194871.7949,8012.820513,0.03946781
6,12,60,0.1025,0.0392,Ricco: 1968,199038.4615,14743.58974,0.03966781
6,12,60,0.1025,0.0394,Ricco: 1968,153846.1538,14423.07692,0.03986781
6,12,60,0.1025,0.0399,Ricco: 1968,162179.4872,17307.69231,0.04036781
6,12,155,0.06,0.02,Ricco: 1968,6247.058375,633.1777187,0.020607733
6,12,155,0.06,0.0205,Ricco: 1968,4955.859718,560.6133846,0.021107733
6,12,155,0.06,0.0206,Ricco: 1968,7335.256255,529.4734967,0.021207733
6,12,155,0.06,0.0212,Ricco: 1968,9159.095824,539.9488634,0.021807733
6,12,155,0.06,0.0213,Ricco: 1968,10001.49466,695.1712821,0.021907733
6,12,155,0.06,0.0214,Ricco: 1968,12172.62412,508.8089756,0.022007733
6,12,155,0.06,0.0215,Ricco: 1968,14934.83902,737.2635569,0.022107733
6,12,155,0.06,0.0217,Ricco: 1968,13815.80655,675.0791854,0.022307733
6,12,155,0.06,0.0218,Ricco: 1968,12707.44025,653.7468358,0.022407733
6,12,155,0.06,0.0221,Ricco: 1968,14267.20135,654.128452,0.022707733
6,12,155,0.06,0.0224,Ricco: 1968,16047.04057,685.0775317,0.023007733
6,12,155,0.06,0.0228,Ricco: 1968,17151.9914,581.3733098,0.023407733
6,12,155,0.06,0.0234,Ricco: 1968,16152.57655,654.128452,0.024007733
6,12,155,0.06,0.0236,Ricco: 1968,13986.69431,768.4034447,0.024207733
6,12,155,0.06,0.024,Ricco: 1968,12579.40799,830.5878163,0.024607733
6,12,155,0.06,0.0243,Ricco: 1968,11867.00673,633.3685268,0.024907733
6,12,155,0.06,0.0246,Ricco: 1968,11652.84368,674.7929732,0.025207733
6,12,155,0.06,0.0249,Ricco: 1968,11345.35637,622.606948,0.025507733
6,12,155,0.06,0.0251,Ricco: 1968,12449.16235,435.9584293,0.025707733
6,12,155,0.06,0.0253,Ricco: 1968,12545.15793,446.4337959,0.025907733
6,12,155,0.06,0.0255,Ricco: 1968,13274.14041,799.3525244,0.026107733
6,12,155,0.06,0.0257,Ricco: 1968,12590.78015,519.1889382,0.026307733
6,12,155,0.06,0.0258,Ricco: 1968,12551.45459,757.4510577,0.026407733
6,12,155,0.06,0.0261,Ricco: 1968,11028.65302,726.5973821,0.026707733
6,12,155,0.06,0.0262,Ricco: 1968,12556.89263,778.4017911,0.026807733
6,12,155,0.06,0.0264,Ricco: 1968,13192.16923,716.2174195,0.027007733
6,12,155,0.06,0.0266,Ricco: 1968,11128.84637,706.4098813,0.027207733
6,12,155,0.06,0.0268,Ricco: 1968,10175.8933,623.2747764,0.027407733
6,12,155,0.06,0.027,Ricco: 1968,10376.83335,632.7961024,0.027607733
6,12,155,0.06,0.0273,Ricco: 1968,8553.203669,643.7484894,0.027907733
6,12,155,0.06,0.0276,Ricco: 1968,9657.486675,664.0313943,0.028207733
6,12,155,0.06,0.0279,Ricco: 1968,9308.86113,654.033048,0.028507733
6,12,155,0.06,0.0282,Ricco: 1968,8803.582105,685.0775317,0.028807733
6,12,155,0.06,0.0286,Ricco: 1968,9297.164591,695.4574943,0.029207733
6,12,155,0.06,0.0292,Ricco: 1968,9220.993983,674.9837813,0.029807733
6,12,155,0.06,0.0294,Ricco: 1968,8185.478229,685.0775317,0.030007733
6,12,155,0.06,0.0296,Ricco: 1968,10347.84959,695.3620902,0.030207733
6,12,155,0.06,0.0299,Ricco: 1968,8555.455205,705.7420528,0.030507733
6,12,155,0.06,0.03,Ricco: 1968,9035.032374,456.9091626,0.030607733
6,12,155,0.06,0.0356,Ricco: 1968,7238.955389,633.1777187,0.036207733
6,12,155,0.06,0.0358,Ricco: 1968,6296.477682,643.3668732,0.036407733
6,12,155,0.06,0.0366,Ricco: 1968,7303.639347,612.7040057,0.037207733
6,12,155,0.071,0.0196,Ricco: 1968,6969.886731,565.9068552,0.020449418
6,12,155,0.071,0.0199,Ricco: 1968,14290.58714,771.6911661,0.020749418
6,12,155,0.071,0.0202,Ricco: 1968,20633.87954,823.1372439,0.021049418
6,12,155,0.071,0.0205,Ricco: 1968,14218.13991,681.7279856,0.021349418
6,12,155,0.071,0.0208,Ricco: 1968,8278.411422,604.558869,0.021649418
6,12,155,0.071,0.0211,Ricco: 1968,7187.00357,553.1127913,0.021949418
6,12,155,0.071,0.0213,Ricco: 1968,6919.002783,604.3565024,0.022149418
6,12,155,0.071,0.0217,Ricco: 1968,10150.2122,463.0146997,0.022549418
6,12,155,0.071,0.022,Ricco: 1968,10435.05439,630.2819079,0.022849418
6,12,155,0.071,0.0222,Ricco: 1968,11620.13547,668.6640996,0.023049418
6,12,155,0.071,0.0223,Ricco: 1968,13035.64462,643.2783383,0.023149418
6,12,155,0.071,0.0224,Ricco: 1968,15223.24967,527.2548413,0.023249418
6,12,155,0.071,0.0226,Ricco: 1968,15301.83535,745.9006717,0.023449418
